TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:048,0.02,-0.23,1.01,-0.08,-0.01,-0.02
00:00:00:135,0.01,-0.20,1.00,-0.09,0.02,-0.01
00:00:00:233,0.01,-0.22,1.03,-0.10,0.03,-0.01
00:00:00:333,0.01,-0.23,1.01,-0.10,0.05,-0.01
00:00:00:433,-0.01,-0.24,1.02,-0.10,0.06,-0.00
00:00:00:533,-0.01,-0.23,1.02,-0.10,0.06,-0.01
00:00:00:633,-0.01,-0.22,1.01,-0.10,0.06,-0.00
00:00:00:733,-0.03,-0.21,1.02,-0.09,0.05,-0.01
00:00:00:833,-0.03,-0.21,1.01,-0.10,0.04,-0.01
00:00:00:933,-0.04,-0.23,1.02,-0.10,0.04,-0.01
00:00:01:033,-0.04,-0.22,1.02,-0.10,0.01,-0.01
00:00:01:133,-0.04,-0.23,1.01,-0.10,0.01,-0.02
00:00:01:233,-0.03,-0.22,1.02,-0.10,0.01,-0.02
00:00:01:333,-0.04,-0.22,1.02,-0.10,-0.00,-0.02
00:00:01:434,-0.03,-0.22,1.01,-0.10,0.00,-0.02
00:00:01:533,-0.03,-0.22,1.01,-0.10,0.01,-0.02
00:00:01:633,-0.03,-0.22,1.02,-0.10,0.01,-0.02
00:00:01:733,-0.03,-0.23,1.02,-0.10,0.01,-0.01
00:00:01:833,-0.04,-0.22,1.01,-0.10,0.01,-0.02
00:00:01:933,-0.03,-0.23,1.01,-0.10,0.02,-0.01
00:00:02:033,-0.04,-0.22,1.01,-0.10,0.01,-0.02
00:00:02:133,-0.04,-0.22,1.02,-0.10,0.01,-0.02
00:00:02:233,-0.04,-0.22,1.02,-0.10,0.00,-0.02
00:00:02:333,-0.04,-0.21,1.01,-0.10,0.00,-0.02
00:00:02:434,-0.03,-0.20,1.00,-0.08,-0.00,-0.01
00:00:02:533,-0.04,-0.17,1.00,-0.08,0.01,-0.01
00:00:02:633,-0.03,-0.25,0.97,-0.12,0.01,-0.02
00:00:02:733,-0.06,-0.19,1.00,-0.10,0.00,-0.02
00:00:02:833,-0.04,-0.21,1.02,-0.07,-0.00,-0.02
00:00:02:933,-0.02,-0.27,1.03,-0.09,-0.03,-0.02
00:00:03:033,-0.04,-0.28,0.99,-0.12,-0.04,-0.02
00:00:03:133,0.01,-0.22,1.03,-0.11,-0.03,-0.02
00:00:03:233,-0.02,-0.18,1.06,-0.09,-0.02,-0.02
00:00:03:333,-0.03,-0.20,1.06,-0.12,-0.02,-0.03
00:00:03:433,-0.01,-0.23,0.98,-0.08,0.02,-0.02
00:00:03:533,0.00,-0.28,0.99,-0.14,0.03,-0.01
00:00:03:633,-0.03,-0.17,1.07,-0.07,0.05,-0.00
00:00:03:733,-0.05,-0.20,0.98,-0.07,0.04,-0.01
00:00:03:833,-0.03,-0.23,0.99,-0.05,0.03,-0.01
00:00:03:933,-0.03,-0.22,0.99,-0.10,0.01,-0.00
00:00:04:033,-0.04,-0.21,1.02,-0.11,0.02,-0.02
00:00:04:133,-0.04,-0.20,1.11,-0.04,0.00,-0.02
00:00:04:233,-0.04,-0.20,0.97,-0.15,0.00,-0.02
00:00:04:333,-0.03,-0.25,0.97,-0.10,-0.04,-0.02
00:00:04:433,-0.05,-0.15,0.95,-0.04,-0.02,-0.02
00:00:04:533,-0.03,-0.27,1.02,-0.11,-0.04,-0.02
00:00:04:633,-0.01,-0.19,1.00,-0.04,-0.02,-0.02
00:00:04:733,-0.00,-0.23,1.01,-0.15,-0.01,-0.02
00:00:04:833,-0.01,-0.25,0.86,0.01,0.03,-0.01
00:00:04:933,-0.02,-0.27,1.05,-0.23,-0.04,-0.03
00:00:05:033,-0.05,0.01,1.01,-0.07,-0.04,-0.02
00:00:05:133,-0.02,-0.11,1.09,-0.11,-0.07,-0.03
00:00:05:233,-0.03,-0.21,1.06,-0.12,0.01,-0.01
00:00:05:333,-0.03,-0.27,0.99,-0.10,0.02,-0.02
00:00:05:433,-0.05,-0.21,0.99,-0.11,0.01,-0.02
00:00:05:533,-0.05,-0.31,0.90,-0.12,0.00,-0.02
00:00:05:633,-0.00,-0.16,1.10,-0.09,-0.02,-0.02
00:00:05:733,-0.05,-0.20,1.02,-0.16,-0.04,-0.03
00:00:05:833,-0.01,-0.13,1.01,-0.18,-0.10,-0.05
00:00:05:933,-0.00,-0.29,1.14,-0.18,-0.07,-0.06
00:00:06:033,0.01,-0.29,1.02,-0.17,-0.08,-0.03
00:00:06:133,0.04,-0.21,1.03,-0.13,-0.00,-0.01
00:00:06:233,0.03,-0.31,0.94,-0.13,-0.01,-0.01
00:00:06:333,0.05,-0.36,0.97,-0.10,0.04,-0.01
00:00:06:434,0.04,-0.28,1.00,-0.05,0.08,0.00
00:00:06:533,-0.02,-0.18,0.99,-0.07,0.11,0.00
00:00:06:633,-0.03,-0.16,1.02,-0.10,0.11,0.01
00:00:06:733,-0.02,-0.29,1.03,-0.10,0.10,0.00
00:00:06:833,-0.03,-0.18,1.11,-0.09,0.12,0.01
00:00:06:933,-0.06,-0.22,0.93,-0.16,0.11,0.01
