TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:048,-0.05,-0.23,1.02,-0.10,0.01,-0.02
00:00:00:134,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:00:232,-0.06,-0.23,1.01,-0.10,0.00,-0.02
00:00:00:332,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:00:432,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:00:532,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:00:632,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:00:732,-0.05,-0.23,1.01,-0.10,0.01,-0.02
00:00:00:832,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:00:932,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:01:032,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:01:132,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:01:232,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:01:332,-0.05,-0.23,1.01,-0.10,0.00,-0.02
00:00:01:432,-0.05,-0.23,1.02,-0.10,-0.00,-0.02
00:00:01:532,-0.05,-0.23,1.02,-0.10,-0.00,-0.02
00:00:01:633,-0.05,-0.23,1.01,-0.10,-0.00,-0.02
00:00:01:732,-0.04,-0.24,1.02,-0.10,-0.00,-0.02
00:00:01:833,-0.05,-0.24,1.01,-0.10,-0.00,-0.02
00:00:01:932,-0.05,-0.24,1.02,-0.10,-0.02,-0.03
00:00:02:032,-0.05,-0.22,1.01,-0.10,-0.04,-0.03
00:00:02:132,-0.03,-0.22,1.02,-0.10,-0.04,-0.03
00:00:02:232,-0.02,-0.23,1.00,-0.10,0.01,-0.02
00:00:02:332,-0.03,-0.23,1.03,-0.10,0.03,-0.01
00:00:02:432,-0.04,-0.23,1.02,-0.10,0.03,-0.01
00:00:02:532,-0.04,-0.23,1.02,-0.10,0.03,-0.01
00:00:02:632,-0.04,-0.23,1.01,-0.10,0.04,-0.01
00:00:02:732,-0.05,-0.23,1.01,-0.10,0.04,-0.01
00:00:02:832,-0.06,-0.25,1.02,-0.10,0.04,-0.01
00:00:02:932,-0.06,-0.23,1.01,-0.09,0.03,-0.01
00:00:03:032,-0.05,-0.23,1.01,-0.10,0.03,-0.01
00:00:03:132,-0.07,-0.24,1.01,-0.10,0.02,-0.02
00:00:03:232,-0.08,-0.26,1.00,-0.10,-0.02,-0.04
00:00:03:332,-0.06,-0.25,1.02,-0.10,-0.05,-0.05
00:00:03:432,-0.03,-0.22,1.02,-0.10,-0.04,-0.03
00:00:03:532,-0.03,-0.20,1.02,-0.09,0.01,-0.02
00:00:03:632,-0.05,-0.23,1.01,-0.09,0.03,-0.01
00:00:03:732,-0.06,-0.23,1.01,-0.10,0.02,-0.02
00:00:03:832,-0.06,-0.23,1.01,-0.10,0.00,-0.02
00:00:03:932,-0.05,-0.23,1.01,-0.09,0.00,-0.02
00:00:04:032,-0.05,-0.23,1.01,-0.10,0.01,-0.02
00:00:04:132,-0.05,-0.23,1.01,-0.10,0.01,-0.01
00:00:04:232,-0.05,-0.23,1.01,-0.10,0.01,-0.02
00:00:04:332,-0.06,-0.23,1.01,-0.10,0.00,-0.02
00:00:04:432,-0.05,-0.23,1.01,-0.10,0.01,-0.01
00:00:04:532,-0.05,-0.23,1.01,-0.10,0.02,-0.00
00:00:04:632,-0.06,-0.22,1.01,-0.10,0.01,-0.01
00:00:04:732,-0.05,-0.22,1.01,-0.09,0.01,-0.01
00:00:04:832,-0.05,-0.22,1.01,-0.10,0.02,-0.01
00:00:04:932,-0.05,-0.23,1.01,-0.10,0.03,-0.01
00:00:05:032,-0.07,-0.25,1.00,-0.10,0.04,-0.01
00:00:05:132,-0.08,-0.24,1.01,-0.10,0.01,-0.01
00:00:05:232,-0.07,-0.23,1.02,-0.11,0.00,-0.02
00:00:05:332,-0.06,-0.23,1.00,-0.10,0.02,-0.01
00:00:05:432,-0.08,-0.24,1.02,-0.10,0.01,-0.01
00:00:05:532,-0.08,-0.24,1.02,-0.10,-0.01,-0.02
00:00:05:633,-0.08,-0.23,1.01,-0.10,-0.03,-0.03
