TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:048,-0.04,-0.22,1.02,-0.10,-0.00,-0.02
00:00:00:134,-0.04,-0.22,1.01,-0.10,-0.00,-0.02
00:00:00:232,-0.04,-0.22,1.02,-0.10,-0.01,-0.02
00:00:00:332,-0.04,-0.22,1.02,-0.10,-0.01,-0.02
00:00:00:432,-0.03,-0.22,1.02,-0.10,-0.00,-0.02
00:00:00:532,-0.03,-0.22,1.02,-0.10,0.00,-0.02
00:00:00:632,-0.03,-0.22,1.01,-0.10,0.00,-0.02
00:00:00:732,-0.03,-0.22,1.01,-0.10,0.01,-0.02
00:00:00:832,-0.03,-0.22,1.02,-0.10,0.01,-0.02
00:00:00:932,-0.04,-0.22,1.01,-0.10,0.00,-0.02
00:00:01:032,-0.03,-0.22,1.02,-0.10,-0.00,-0.02
00:00:01:132,-0.03,-0.22,1.02,-0.10,-0.01,-0.02
00:00:01:233,-0.03,-0.22,1.02,-0.10,-0.01,-0.02
00:00:01:332,-0.02,-0.22,1.01,-0.10,0.01,-0.02
00:00:01:432,-0.02,-0.22,1.02,-0.10,0.02,-0.01
00:00:01:532,-0.04,-0.22,1.02,-0.10,0.02,-0.01
00:00:01:632,-0.04,-0.21,1.02,-0.10,0.02,-0.01
00:00:01:732,-0.04,-0.22,1.01,-0.10,0.02,-0.01
00:00:01:832,-0.04,-0.22,1.02,-0.10,0.02,-0.01
00:00:01:932,-0.04,-0.22,1.01,-0.10,0.02,-0.01
00:00:02:032,-0.04,-0.21,1.02,-0.10,0.01,-0.01
00:00:02:132,-0.03,-0.21,1.01,-0.08,0.01,-0.01
00:00:02:232,-0.05,-0.16,1.00,-0.06,0.04,-0.01
00:00:02:332,-0.05,-0.18,0.95,-0.09,0.01,-0.02
00:00:02:432,-0.05,-0.23,1.02,-0.09,0.00,-0.02
00:00:02:532,-0.04,-0.25,0.98,-0.16,0.02,-0.02
00:00:02:632,-0.03,-0.26,0.99,-0.17,0.00,-0.02
00:00:02:732,-0.06,-0.22,0.97,-0.02,0.04,-0.00
00:00:02:832,-0.04,-0.28,0.97,-0.15,-0.01,-0.02
00:00:02:932,-0.06,-0.28,0.96,-0.07,-0.00,-0.02
00:00:03:032,-0.04,-0.28,0.97,-0.11,-0.01,-0.02
00:00:03:132,-0.03,-0.18,1.02,-0.09,0.00,-0.02
00:00:03:232,-0.04,-0.19,1.01,-0.10,0.04,-0.01
00:00:03:332,-0.07,-0.22,1.05,-0.10,0.03,-0.01
00:00:03:432,-0.04,-0.22,1.05,-0.09,-0.01,-0.03
00:00:03:532,-0.06,-0.23,1.06,-0.10,-0.03,-0.06
00:00:03:632,-0.04,-0.21,0.99,-0.12,-0.04,-0.05
00:00:03:732,-0.02,-0.24,1.05,-0.09,-0.05,-0.05
00:00:03:832,-0.03,-0.26,1.08,-0.10,-0.06,-0.08
00:00:03:932,-0.06,-0.25,1.09,-0.08,-0.09,-0.12
00:00:04:032,-0.01,-0.23,0.98,-0.13,-0.14,-0.11
00:00:04:132,0.01,-0.22,0.99,-0.10,-0.04,-0.03
00:00:04:232,-0.03,-0.28,0.88,-0.04,-0.03,-0.03
00:00:04:332,0.01,-0.32,0.98,-0.14,-0.14,-0.08
00:00:04:432,0.01,-0.21,1.09,-0.07,-0.07,-0.04
00:00:04:532,0.03,-0.21,1.17,-0.01,-0.02,-0.03
00:00:04:632,0.03,-0.25,0.92,-0.08,-0.05,-0.04
00:00:04:732,0.07,-0.16,1.03,-0.03,-0.03,-0.02
00:00:04:832,0.01,-0.12,0.94,0.05,-0.05,-0.03
00:00:04:932,0.06,-0.08,1.11,0.03,-0.05,-0.03
00:00:05:032,0.12,-0.08,1.14,-0.00,0.03,-0.01
00:00:05:132,0.05,-0.12,0.97,-0.10,0.09,-0.02
00:00:05:232,0.04,-0.17,0.89,-0.17,0.07,-0.02
00:00:05:332,0.06,-0.18,1.05,-0.18,0.06,-0.00
00:00:05:432,0.09,-0.28,1.18,-0.21,0.06,0.00
00:00:05:532,0.06,-0.24,1.14,-0.13,0.08,-0.01
00:00:05:632,0.02,-0.23,0.99,-0.05,0.09,-0.03
00:00:05:732,-0.00,-0.21,0.91,-0.00,0.08,-0.03
00:00:05:832,-0.02,-0.08,1.02,0.04,0.01,-0.04
00:00:05:932,0.03,-0.08,1.13,0.01,-0.01,-0.06
00:00:06:032,0.08,-0.12,1.18,-0.05,0.03,-0.04
00:00:06:132,0.02,-0.13,1.06,-0.15,0.13,-0.07
00:00:06:232,-0.03,-0.13,0.98,-0.13,0.07,-0.06
00:00:06:332,-0.06,-0.15,1.05,-0.10,-0.01,-0.12
00:00:06:432,-0.04,-0.13,1.04,-0.14,-0.10,-0.16
00:00:06:532,0.00,-0.19,1.00,-0.16,-0.16,-0.17
00:00:06:632,0.01,-0.21,1.02,-0.22,-0.06,-0.14
00:00:06:732,0.04,0.03,1.13,-0.21,-0.02,-0.10
00:00:06:832,0.03,0.10,1.11,-0.03,0.01,-0.02
00:00:06:932,0.01,0.06,1.09,0.00,0.03,0.05
00:00:07:032,0.02,-0.15,1.29,-0.24,0.09,0.10
00:00:07:132,-0.03,0.08,1.11,-0.09,0.02,0.14
00:00:07:232,0.01,-0.25,1.10,-0.19,0.00,0.22
00:00:07:332,-0.04,-0.02,1.09,-0.16,0.01,0.23
00:00:07:432,-0.09,-0.23,0.89,-0.17,0.01,0.26
00:00:07:532,-0.10,0.06,1.11,-0.07,-0.16,0.26
00:00:07:632,-0.05,0.05,1.16,-0.01,-0.06,0.21
00:00:07:732,-0.02,-0.13,1.30,-0.39,-0.12,0.13
00:00:07:832,-0.07,-0.01,1.04,0.00,-0.13,0.16
00:00:07:932,0.01,0.15,1.10,-0.12,-0.10,0.22
00:00:08:032,-0.05,-0.25,0.96,-0.28,-0.11,0.25
00:00:08:132,-0.12,0.04,0.81,0.42,0.01,0.33
00:00:08:232,-0.01,0.10,1.42,-0.30,0.11,0.20
00:00:08:332,-0.01,0.11,1.03,-0.21,-0.01,0.11
00:00:08:432,-0.07,-0.48,1.04,0.30,0.11,-0.03
00:00:08:532,0.12,0.11,0.58,-0.22,-0.37,-0.11
00:00:08:632,0.01,-0.16,0.66,-0.17,0.01,0.03
00:00:08:732,-0.11,0.18,1.46,-0.43,0.16,0.22
00:00:08:832,-0.10,-0.20,1.01,0.27,0.20,0.41
00:00:08:932,-0.03,-0.14,0.90,-0.04,0.11,0.22
00:00:09:032,0.01,-0.34,0.66,0.05,0.26,0.08
00:00:09:132,0.02,-0.42,1.10,-0.65,-0.06,-0.22
00:00:09:232,0.04,-0.11,0.80,-0.03,-0.00,-0.10
00:00:09:332,0.03,0.00,1.02,-0.20,-0.08,-0.10
00:00:09:432,0.04,-0.05,0.79,-0.20,-0.02,0.01
00:00:09:532,-0.02,-0.23,0.97,-0.23,-0.04,-0.12
00:00:09:632,0.01,-0.21,1.24,-0.17,-0.03,-0.16
00:00:09:732,0.01,-0.33,1.26,-0.32,-0.15,-0.14
00:00:09:832,0.02,0.07,0.79,-0.14,-0.13,-0.01
00:00:09:932,-0.08,-0.07,1.13,0.07,-0.06,0.10
00:00:10:032,-0.05,-0.25,0.96,-0.06,-0.03,0.03
00:00:10:132,-0.01,0.08,1.19,-0.25,-0.10,-0.01
00:00:10:232,-0.07,-0.19,0.96,-0.16,-0.08,0.07
00:00:10:332,-0.01,-0.30,1.00,-0.02,0.03,0.10
00:00:10:432,0.04,-0.07,1.13,-0.20,-0.15,0.08
00:00:10:532,-0.00,-0.39,0.97,-0.22,0.02,0.11
00:00:10:632,0.01,0.00,1.14,-0.16,-0.02,0.04
00:00:10:732,-0.01,-0.29,0.92,0.01,-0.03,0.04
00:00:10:832,0.01,-0.18,1.19,-0.21,0.02,0.03
00:00:10:932,-0.01,-0.17,0.96,-0.13,-0.06,0.07
00:00:11:032,-0.00,-0.03,1.02,-0.18,-0.00,0.08
00:00:11:132,-0.03,-0.01,1.01,0.06,0.00,0.08
00:00:11:232,0.00,-0.13,1.04,-0.22,0.06,0.05
00:00:11:332,-0.06,-0.09,1.03,-0.01,0.06,0.08
00:00:11:432,-0.02,-0.29,0.83,0.02,0.10,0.05
00:00:11:532,-0.03,0.00,1.07,0.04,0.10,0.03
00:00:11:632,-0.04,-0.22,0.83,-0.12,0.14,0.02
00:00:11:732,0.01,-0.04,1.01,-0.22,0.04,0.03
00:00:11:832,-0.04,-0.10,0.80,-0.01,0.08,0.04
00:00:11:932,-0.01,0.07,1.22,-0.06,0.14,-0.03
00:00:12:032,-0.04,-0.40,0.99,0.02,0.09,-0.06
00:00:12:132,-0.03,-0.18,1.21,-0.05,0.11,-0.09
00:00:12:232,0.03,-0.09,1.12,-0.14,-0.03,-0.12
00:00:12:332,-0.05,-0.01,1.05,0.09,-0.06,-0.06
