TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
00:00:00:046,-0.11,0.1,1.03,-0.11,0.01,-0.01,Ban Normal
00:00:00:142,-0.1,0.11,1.01,-0.1,0.01,-0.01,Ban Normal
00:00:00:240,-0.11,0.1,1.02,-0.09,0.01,-0.03,Ban Normal
00:00:00:340,-0.11,0.11,1.01,-0.08,0.02,-0.01,Ban Normal
00:00:00:440,-0.1,0.11,1.01,-0.09,0.01,-0.01,Ban Normal
00:00:00:540,-0.11,0.1,1.02,-0.09,0.01,0,Ban Normal
00:00:00:640,-0.11,0.11,1.02,-0.08,0,-0.03,Ban Normal
00:00:00:740,-0.1,0.1,1.02,-0.11,0.01,-0.02,Ban Normal
00:00:00:840,-0.11,0.11,1.02,-0.08,0,-0.02,Ban Normal
00:00:00:940,-0.11,0.11,1.01,-0.11,0.01,-0.02,Ban Normal
00:00:01:040,-0.11,0.1,1.02,-0.08,-0.01,-0.02,Ban Normal
00:00:01:140,-0.1,0.11,1.01,-0.1,0.01,-0.02,Ban Normal
00:00:01:241,-0.11,0.1,1.03,-0.11,0,-0.01,Ban Normal
00:00:01:340,-0.11,0.11,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:01:441,-0.11,0.1,1.03,-0.11,0.01,-0.01,Ban Normal
00:00:01:541,-0.11,0.11,1.02,-0.07,0,-0.02,Ban Normal
00:00:01:640,-0.11,0.1,1.02,-0.11,0.01,-0.02,Ban Normal
00:00:01:741,-0.11,0.1,1.02,-0.07,0,-0.01,Ban Normal
00:00:01:841,-0.11,0.11,1.02,-0.09,0.01,0,Ban Normal
00:00:01:941,-0.1,0.1,1.02,-0.12,0,-0.03,Ban Normal
00:00:02:041,-0.11,0.11,1.02,-0.06,0,-0.02,Ban Normal
00:00:02:140,-0.1,0.11,1.01,-0.12,0,-0.02,Ban Normal
00:00:02:240,-0.11,0.1,1.02,-0.1,0,-0.01,Ban Normal
00:00:02:340,-0.11,0.1,1.02,-0.09,0.01,-0.02,Ban Normal
00:00:02:440,-0.1,0.1,1.02,-0.08,0,-0.02,Ban Normal
00:00:02:540,-0.11,0.11,1.02,-0.11,0.01,-0.01,Ban Normal
00:00:02:640,-0.11,0.1,1.02,-0.06,-0.01,-0.02,Ban Normal
00:00:02:740,-0.11,0.11,1.02,-0.12,0,-0.02,Ban Normal
00:00:02:840,-0.11,0.1,1.02,-0.07,0,-0.02,Ban Normal
00:00:02:940,-0.11,0.11,1.01,-0.1,0,-0.01,Ban Normal
00:00:03:040,-0.11,0.1,1.02,-0.1,0.01,-0.02,Ban Normal
00:00:03:140,-0.1,0.11,1.02,-0.08,0,-0.02,Ban Normal
00:00:03:240,-0.12,0.1,1.02,-0.12,0.01,-0.02,Ban Normal
00:00:03:340,-0.11,0.1,1.02,-0.08,-0.01,-0.02,Ban Normal
00:00:03:440,-0.11,0.11,1.01,-0.11,0,-0.02,Ban Normal
00:00:03:540,-0.11,0.1,1.02,-0.09,0,-0.01,Ban Normal
00:00:03:640,-0.11,0.11,1.02,-0.1,0,-0.02,Ban Normal
00:00:03:740,-0.12,0.1,1.02,-0.1,0.01,-0.01,Ban Normal
00:00:03:840,-0.11,0.1,1.02,-0.06,-0.01,-0.02,Ban Normal
00:00:03:940,-0.11,0.1,1.01,-0.12,0,-0.01,Ban Normal
00:00:04:040,-0.11,0.1,1.02,-0.06,-0.01,-0.02,Ban Normal
00:00:04:140,-0.11,0.11,1.01,-0.11,0.01,-0.02,Ban Normal
00:00:04:240,-0.11,0.1,1.03,-0.09,0.01,-0.01,Ban Normal
00:00:04:340,-0.11,0.1,1.02,-0.09,0,-0.01,Ban Normal
00:00:04:440,-0.11,0.1,1.02,-0.09,0.01,-0.01,Ban Normal
00:00:04:540,-0.1,0.11,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:04:640,-0.11,0.1,1.02,-0.1,0,-0.01,Ban Normal
00:00:04:740,-0.11,0.1,1.02,-0.1,0.01,-0.02,Ban Normal
00:00:04:840,-0.11,0.1,1.02,-0.09,0,-0.02,Ban Normal
00:00:04:940,-0.11,0.11,1.02,-0.08,0,-0.02,Ban Normal
00:00:05:040,-0.11,0.1,1.02,-0.1,0.01,-0.02,Ban Normal
00:00:05:141,-0.11,0.11,1.02,-0.08,0,-0.02,Ban Normal
00:00:05:240,-0.11,0.11,1.02,-0.11,0.02,-0.02,Ban Normal
00:00:05:340,-0.11,0.1,1.03,-0.1,0.01,-0.01,Ban Normal
00:00:05:440,-0.11,0.11,1.02,-0.09,0,-0.02,Ban Normal
00:00:05:540,-0.11,0.1,1.02,-0.1,0.01,-0.02,Ban Normal
00:00:05:640,-0.11,0.11,1.02,-0.07,0,-0.02,Ban Normal
00:00:05:741,-0.11,0.1,1.02,-0.11,0.01,-0.02,Ban Normal
00:00:05:841,-0.11,0.11,1.02,-0.08,-0.01,-0.02,Ban Normal
00:00:05:941,-0.11,0.1,1.02,-0.11,0.01,-0.02,Ban Normal
00:00:06:040,-0.11,0.1,1.02,-0.07,0,-0.02,Ban Normal
00:00:06:141,-0.11,0.11,1.01,-0.1,0,-0.03,Ban Normal
00:00:06:240,-0.11,0.1,1.02,-0.09,0,-0.01,Ban Normal
00:00:06:341,-0.11,0.11,1.01,-0.08,0.01,-0.02,Ban Normal
00:00:06:440,-0.11,0.1,1.02,-0.09,0.01,-0.03,Ban Normal
00:00:06:541,-0.1,0.11,1.02,-0.1,0,0,Ban Normal
00:00:06:640,-0.11,0.1,1.02,-0.09,-0.01,-0.01,Ban Normal
00:00:06:740,-0.11,0.11,1.02,-0.07,-0.01,-0.01,Ban Normal
00:00:06:840,-0.11,0.1,1.02,-0.13,0.01,-0.02,Ban Normal
00:00:06:940,-0.11,0.1,1.02,-0.06,0,-0.01,Ban Normal
00:00:07:040,-0.11,0.11,1.02,-0.11,0.01,-0.01,Ban Normal
00:00:07:140,-0.11,0.1,1.02,-0.1,0,-0.01,Ban Normal
00:00:07:240,-0.1,0.11,1.02,-0.08,0,-0.02,Ban Normal
00:00:07:340,-0.11,0.1,1.02,-0.13,0.01,-0.02,Ban Normal
00:00:07:440,-0.11,0.1,1.02,-0.05,-0.01,-0.01,Ban Normal
00:00:07:540,-0.11,0.11,1.02,-0.12,0.01,-0.01,Ban Normal
00:00:07:640,-0.11,0.1,1.02,-0.09,0,-0.01,Ban Normal
00:00:07:740,-0.11,0.11,1.01,-0.09,0.01,-0.01,Ban Normal
00:00:07:840,-0.11,0.1,1.02,-0.1,0,-0.02,Ban Normal
00:00:07:940,-0.11,0.11,1.01,-0.09,0.01,-0.03,Ban Normal
00:00:08:040,-0.11,0.1,1.02,-0.08,0.01,-0.01,Ban Normal
00:00:08:140,-0.11,0.11,1.02,-0.11,0.01,-0.02,Ban Normal
00:00:08:240,-0.11,0.1,1.02,-0.09,0.01,-0.02,Ban Normal
00:00:08:340,-0.11,0.11,1.01,-0.08,0,-0.01,Ban Normal
00:00:08:440,-0.11,0.1,1.02,-0.12,0.01,-0.02,Ban Normal
00:00:08:540,-0.11,0.11,1.02,-0.05,-0.01,-0.03,Ban Normal
00:00:00:033,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:00:132,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:00:232,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:00:332,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:00:432,0.22,-0.17,1,-0.1,0,-0.02,Ban Normal
00:00:00:532,0.22,-0.17,1.01,-0.09,0,-0.02,Ban Normal
00:00:00:632,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:00:732,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:00:833,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:00:932,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:01:032,0.22,-0.17,1.01,-0.09,0,-0.02,Ban Normal
00:00:01:132,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:01:232,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:01:332,0.22,-0.17,1,-0.1,0,-0.02,Ban Normal
00:00:01:432,0.22,-0.18,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:01:532,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:01:633,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:01:732,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:01:833,0.22,-0.17,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:01:932,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:02:033,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:02:133,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:02:232,0.22,-0.17,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:02:332,0.22,-0.17,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:02:430,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:02:532,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:02:632,0.22,-0.17,1.01,-0.09,0,-0.02,Ban Normal
00:00:02:732,0.23,-0.17,1,-0.1,0,-0.02,Ban Normal
00:00:02:832,0.22,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:02:932,0.22,-0.17,1.01,-0.09,0,-0.02,Ban Normal
00:00:03:032,0.23,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:03:132,0.22,-0.17,1.01,-0.1,0,-0.01,Ban Normal
00:00:03:232,0.23,-0.17,1,-0.09,-0.01,-0.02,Ban Normal
00:00:03:332,0.23,-0.17,1.01,-0.1,0.01,-0.02,Ban Normal
00:00:03:432,0.21,-0.18,1,-0.1,0,-0.01,Ban Normal
