TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:046,-0.11,0.10,1.03,-0.11,0.01,-0.01
00:00:00:142,-0.10,0.11,1.01,-0.10,0.01,-0.01
00:00:00:240,-0.11,0.10,1.02,-0.09,0.01,-0.03
00:00:00:340,-0.11,0.11,1.01,-0.08,0.02,-0.01
00:00:00:440,-0.10,0.11,1.01,-0.09,0.01,-0.01
00:00:00:540,-0.11,0.10,1.02,-0.09,0.01,-0.00
00:00:00:640,-0.11,0.11,1.02,-0.08,-0.00,-0.03
00:00:00:740,-0.10,0.10,1.02,-0.11,0.01,-0.02
00:00:00:840,-0.11,0.11,1.02,-0.08,-0.00,-0.02
00:00:00:940,-0.11,0.11,1.01,-0.11,0.01,-0.02
00:00:01:040,-0.11,0.10,1.02,-0.08,-0.01,-0.02
00:00:01:140,-0.10,0.11,1.01,-0.10,0.01,-0.02
00:00:01:241,-0.11,0.10,1.03,-0.11,0.00,-0.01
00:00:01:340,-0.11,0.11,1.01,-0.09,0.01,-0.02
00:00:01:441,-0.11,0.10,1.03,-0.11,0.01,-0.01
00:00:01:541,-0.11,0.11,1.02,-0.07,0.00,-0.02
00:00:01:640,-0.11,0.10,1.02,-0.11,0.01,-0.02
00:00:01:741,-0.11,0.10,1.02,-0.07,-0.00,-0.01
00:00:01:841,-0.11,0.11,1.02,-0.09,0.01,-0.00
00:00:01:941,-0.10,0.10,1.02,-0.12,0.00,-0.03
00:00:02:041,-0.11,0.11,1.02,-0.06,0.00,-0.02
00:00:02:140,-0.10,0.11,1.01,-0.12,0.00,-0.02
00:00:02:240,-0.11,0.10,1.02,-0.10,0.00,-0.01
00:00:02:340,-0.11,0.10,1.02,-0.09,0.01,-0.02
00:00:02:440,-0.10,0.10,1.02,-0.08,-0.00,-0.02
00:00:02:540,-0.11,0.11,1.02,-0.11,0.01,-0.01
00:00:02:640,-0.11,0.10,1.02,-0.06,-0.01,-0.02
00:00:02:740,-0.11,0.11,1.02,-0.12,0.00,-0.02
00:00:02:840,-0.11,0.10,1.02,-0.07,-0.00,-0.02
00:00:02:940,-0.11,0.11,1.01,-0.10,0.00,-0.01
00:00:03:040,-0.11,0.10,1.02,-0.10,0.01,-0.02
00:00:03:140,-0.10,0.11,1.02,-0.08,0.00,-0.02
00:00:03:240,-0.12,0.10,1.02,-0.12,0.01,-0.02
00:00:03:340,-0.11,0.10,1.02,-0.08,-0.01,-0.02
00:00:03:440,-0.11,0.11,1.01,-0.11,0.00,-0.02
00:00:03:540,-0.11,0.10,1.02,-0.09,0.00,-0.01
