TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,-0.11,-0.25,0.99,-0.09,0.01,-0.02
00:00:00:134,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:00:232,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:00:332,-0.11,-0.25,1.00,-0.09,0.01,-0.02
00:00:00:432,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:00:532,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:00:632,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:00:732,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:00:832,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:00:932,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:01:032,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:01:132,-0.11,-0.25,0.99,-0.09,0.01,-0.02
00:00:01:233,-0.11,-0.25,0.99,-0.09,0.01,-0.02
00:00:01:333,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:01:432,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:01:533,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:01:633,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:01:732,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:01:833,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:01:933,-0.11,-0.25,0.99,-0.09,0.01,-0.02
00:00:02:033,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:02:132,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:02:232,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:02:332,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:02:432,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:02:533,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:02:632,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:02:732,-0.12,-0.25,1.00,-0.09,0.00,-0.02
00:00:02:832,-0.11,-0.25,0.99,-0.09,0.01,-0.02
00:00:02:932,-0.12,-0.25,1.00,-0.09,0.00,-0.02
00:00:03:032,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:03:132,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:03:232,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:03:332,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:03:433,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:03:532,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:03:632,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:03:732,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:03:832,-0.11,-0.25,1.00,-0.09,0.00,-0.02
00:00:03:932,-0.11,-0.25,0.99,-0.09,0.00,-0.02
00:00:04:032,-0.11,-0.25,0.99,-0.09,0.00,-0.02
