TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
00:00:00:047,0.02,-0.28,0.85,-0.10,0.03,-0.01
00:00:00:134,-0.00,-0.22,1.06,-0.14,0.03,-0.01
00:00:00:232,-0.05,-0.10,1.13,-0.05,0.08,-0.02
00:00:00:332,-0.03,-0.16,1.10,-0.09,0.02,-0.09
00:00:00:432,-0.03,-0.24,0.90,-0.01,-0.02,-0.16
00:00:00:532,0.08,-0.22,0.99,-0.00,-0.13,-0.20
00:00:00:632,0.08,-0.15,1.05,-0.04,-0.08,-0.24
00:00:00:732,0.08,-0.14,1.08,-0.04,-0.06,-0.26
00:00:00:832,0.12,-0.14,0.98,0.00,-0.04,-0.32
00:00:00:932,0.13,-0.26,0.98,-0.06,0.08,-0.35
00:00:01:032,0.14,-0.32,0.91,-0.12,0.05,-0.44
00:00:01:132,0.06,-0.24,0.95,-0.17,0.30,-0.40
00:00:01:232,0.05,-0.27,0.91,-0.13,0.33,-0.36
00:00:01:333,-0.03,-0.15,0.93,-0.18,0.29,-0.37
00:00:01:432,0.04,-0.24,1.13,-0.11,0.12,-0.43
00:00:01:532,0.02,-0.31,1.02,-0.13,0.23,-0.49
00:00:01:632,-0.08,-0.34,0.92,-0.07,0.18,-0.45
00:00:01:732,-0.03,-0.27,0.92,0.00,0.07,-0.49
00:00:01:832,-0.00,-0.27,1.05,-0.12,0.10,-0.45
00:00:01:932,0.01,-0.29,1.05,-0.15,0.04,-0.51
00:00:02:032,0.03,-0.32,1.06,-0.08,0.00,-0.50
00:00:02:132,0.04,-0.26,1.07,-0.07,0.08,-0.52
00:00:02:232,0.01,-0.30,1.00,-0.15,0.01,-0.52
00:00:02:332,0.01,-0.31,1.02,-0.15,-0.06,-0.55
00:00:02:432,0.04,-0.30,1.07,-0.09,-0.07,-0.48
00:00:02:532,0.09,-0.34,0.99,-0.17,-0.06,-0.35
00:00:02:632,0.10,-0.31,0.89,-0.10,0.05,-0.24
00:00:02:732,0.11,-0.29,0.98,-0.11,0.13,-0.19
00:00:02:832,0.08,-0.27,1.01,-0.11,0.20,-0.10
00:00:02:932,0.04,-0.26,0.97,-0.12,0.26,-0.07
00:00:03:032,-0.06,-0.19,0.98,-0.06,0.22,-0.08
00:00:03:132,0.00,-0.29,1.10,-0.09,0.13,-0.10
00:00:03:232,-0.02,-0.35,1.04,-0.13,0.12,-0.11
00:00:03:332,-0.01,-0.30,0.98,-0.12,0.05,-0.11
00:00:03:432,-0.06,-0.27,1.07,-0.17,0.01,-0.14
00:00:03:532,-0.05,-0.34,1.02,-0.05,-0.12,-0.18
00:00:03:632,-0.00,-0.28,0.97,-0.09,-0.18,-0.19
00:00:03:732,0.03,-0.28,0.92,-0.09,-0.18,-0.19
00:00:03:832,0.07,-0.31,1.03,-0.08,-0.20,-0.12
00:00:03:932,0.10,-0.41,0.95,-0.15,-0.12,-0.09
00:00:04:032,0.09,-0.38,0.80,-0.03,-0.02,-0.06
00:00:04:132,0.09,-0.32,0.98,-0.06,-0.03,-0.02
00:00:04:232,0.14,-0.18,1.00,-0.12,0.01,0.01
00:00:04:332,0.12,-0.34,0.90,-0.05,0.07,0.02
00:00:04:432,0.09,-0.26,0.95,-0.01,0.10,0.04
00:00:04:532,0.01,-0.28,1.01,-0.01,0.17,0.05
00:00:04:632,-0.03,-0.14,0.94,0.01,0.11,0.10
00:00:04:732,-0.02,-0.05,1.07,0.01,-0.00,0.11
00:00:04:832,-0.02,-0.15,0.93,-0.06,-0.00,0.06
00:00:04:932,-0.03,-0.20,1.03,0.12,0.03,0.13
00:00:05:032,0.01,-0.07,1.12,0.09,-0.08,0.11
00:00:05:132,-0.03,0.09,1.29,-0.03,-0.06,0.14
00:00:05:232,0.01,0.15,1.21,0.07,-0.07,0.16
00:00:05:333,-0.01,-0.21,1.04,0.05,0.00,0.20
00:00:05:432,0.03,-0.09,1.09,-0.10,-0.01,0.21
00:00:05:532,-0.06,-0.17,0.97,-0.12,0.02,0.24
00:00:05:632,0.03,-0.38,0.98,-0.10,-0.05,0.27
00:00:05:732,-0.02,-0.15,1.17,-0.05,0.03,0.35
00:00:05:832,0.00,-0.32,0.78,-0.08,0.04,0.38
00:00:05:932,-0.02,-0.17,0.89,0.10,-0.03,0.38
00:00:06:032,-0.10,0.03,1.30,-0.15,0.00,0.34
00:00:06:132,-0.07,-0.05,1.11,-0.24,-0.23,0.18
00:00:06:232,-0.03,-0.10,0.87,-0.20,-0.39,0.04
00:00:06:332,0.14,0.03,0.90,-0.05,-0.27,0.03
00:00:06:432,-0.03,-0.22,1.00,-0.12,-0.05,0.27
00:00:06:532,-0.05,-0.27,1.18,-0.24,-0.06,0.37
00:00:06:632,-0.05,0.13,1.13,-0.14,0.00,0.53
00:00:06:732,-0.08,-0.05,1.02,0.03,0.07,0.50
00:00:06:832,0.02,0.02,1.07,-0.09,0.02,0.35
00:00:06:932,-0.08,-0.09,0.91,-0.08,0.07,0.36
00:00:07:032,-0.03,-0.15,0.95,-0.11,-0.08,0.11
00:00:07:132,-0.02,0.15,1.28,-0.26,-0.10,-0.09
00:00:07:232,-0.03,-0.03,1.03,-0.01,-0.21,-0.05
00:00:07:333,-0.01,-0.06,1.01,-0.16,-0.12,0.08
00:00:07:432,-0.04,0.01,1.11,-0.02,-0.00,0.20
00:00:07:532,-0.10,-0.25,1.04,-0.17,0.04,0.30
00:00:07:632,0.01,-0.08,1.02,-0.07,-0.00,0.28
00:00:07:732,0.07,-0.02,0.99,-0.05,-0.00,0.18
00:00:07:832,-0.02,0.07,1.25,-0.04,0.10,0.17
00:00:07:932,0.08,-0.06,0.89,-0.06,0.01,0.08
00:00:08:032,0.01,-0.15,1.00,-0.05,0.06,0.09
00:00:08:132,-0.05,-0.00,1.08,-0.12,0.12,0.12
00:00:08:232,-0.08,-0.16,0.94,-0.25,0.12,0.09
00:00:08:332,0.02,-0.01,0.97,-0.13,-0.05,-0.03
00:00:08:432,-0.00,-0.00,0.99,-0.06,0.01,-0.06
00:00:08:532,-0.07,0.08,1.03,-0.12,0.00,0.06
00:00:08:632,-0.03,0.11,1.03,0.13,-0.00,0.08
00:00:08:732,-0.03,-0.11,0.95,-0.04,0.10,0.04
00:00:08:832,-0.11,-0.33,1.12,-0.25,0.18,0.06
00:00:08:932,-0.04,-0.39,0.97,-0.27,0.03,-0.05
00:00:09:032,0.05,-0.15,0.89,-0.13,-0.04,-0.08
00:00:09:132,-0.05,0.02,1.11,-0.16,-0.01,-0.14
00:00:09:232,0.00,-0.24,0.84,-0.03,-0.06,-0.17
00:00:09:333,-0.03,-0.12,1.17,-0.12,0.02,-0.08
00:00:09:432,-0.03,-0.29,0.88,-0.11,0.01,-0.01
00:00:09:532,-0.12,-0.28,0.92,-0.17,0.06,0.02
00:00:09:632,-0.09,-0.33,0.89,-0.10,0.08,0.02
00:00:09:732,-0.01,-0.22,0.99,-0.16,0.15,0.11
00:00:09:833,-0.13,-0.32,0.93,-0.11,0.29,0.10
00:00:09:932,-0.03,-0.38,1.03,-0.08,0.14,-0.08
00:00:10:032,0.03,-0.31,1.10,-0.14,0.04,-0.20
00:00:10:132,0.01,-0.27,1.18,-0.14,-0.02,-0.23
00:00:10:232,-0.09,-0.32,1.08,-0.16,-0.01,-0.22
00:00:10:332,-0.01,-0.39,0.81,-0.06,-0.11,-0.24
00:00:10:432,-0.07,-0.30,1.03,-0.06,-0.05,-0.18
00:00:10:532,-0.05,-0.31,1.10,-0.06,-0.09,-0.12
00:00:10:632,-0.02,-0.21,0.92,-0.03,-0.05,-0.08
00:00:10:732,-0.02,-0.42,0.91,-0.07,-0.03,0.02
00:00:10:832,-0.07,-0.31,1.12,-0.05,0.03,0.08
00:00:10:932,-0.07,-0.16,0.96,-0.09,0.15,0.10
00:00:11:032,-0.01,-0.29,0.90,0.02,0.04,-0.01
00:00:11:132,-0.00,-0.12,1.03,-0.04,0.11,-0.08
00:00:11:232,-0.03,-0.18,1.19,-0.15,0.09,-0.08
00:00:11:332,-0.08,-0.24,0.93,-0.11,0.08,-0.16
00:00:11:432,-0.12,-0.23,0.97,-0.18,0.13,-0.11
00:00:11:532,-0.04,-0.23,1.15,-0.22,0.06,-0.11
00:00:11:632,0.02,-0.06,1.11,-0.18,-0.02,-0.13
00:00:11:732,-0.02,0.01,1.13,-0.00,-0.03,-0.11
00:00:11:832,-0.01,-0.32,0.88,-0.02,0.01,-0.12
00:00:11:932,-0.05,-0.25,1.02,-0.22,0.02,-0.10
00:00:12:032,0.01,-0.25,1.04,-0.05,-0.00,-0.07
00:00:12:132,-0.08,-0.31,1.04,-0.27,0.11,-0.00
00:00:12:232,-0.02,-0.30,0.98,-0.08,0.05,-0.10
00:00:12:332,0.02,-0.40,0.98,-0.06,0.00,-0.17
00:00:12:432,-0.06,-0.38,0.93,-0.10,0.02,-0.08
00:00:12:532,-0.05,-0.32,1.08,-0.14,0.03,-0.07
00:00:12:632,-0.04,-0.19,0.98,-0.16,0.03,-0.13
00:00:12:732,-0.03,-0.30,1.02,-0.14,0.04,-0.13
00:00:12:832,-0.02,-0.43,0.92,-0.13,0.05,-0.11
00:00:12:932,-0.05,-0.45,0.93,-0.09,0.03,-0.08
00:00:13:032,-0.03,-0.46,0.91,-0.20,0.00,-0.14
00:00:13:132,0.02,-0.34,0.95,-0.05,-0.02,-0.14
00:00:13:232,-0.01,-0.29,1.04,-0.03,0.02,-0.15
00:00:13:332,-0.06,-0.26,1.17,-0.07,0.06,-0.10
00:00:13:432,0.01,-0.24,0.91,-0.03,-0.04,-0.17
00:00:13:532,-0.04,-0.09,1.09,0.02,0.00,-0.20
00:00:13:632,-0.06,-0.14,1.01,-0.06,0.01,-0.15
00:00:13:732,-0.04,-0.40,0.95,-0.11,0.05,-0.14
00:00:13:832,-0.02,-0.08,0.95,-0.03,-0.00,-0.15
00:00:13:932,-0.07,-0.24,1.10,-0.14,0.04,-0.07
00:00:14:032,-0.07,-0.09,0.94,-0.04,0.05,-0.06
00:00:14:132,-0.04,-0.26,1.12,-0.15,0.04,-0.14
00:00:14:232,-0.04,-0.24,1.17,-0.18,0.03,-0.15
00:00:14:332,-0.03,-0.38,0.89,-0.09,0.06,-0.15
00:00:14:432,-0.00,-0.27,0.85,0.01,-0.06,-0.13
00:00:14:533,-0.06,-0.18,0.90,0.01,-0.04,-0.13
00:00:14:632,-0.06,-0.05,1.05,-0.12,-0.04,-0.10
00:00:14:732,-0.05,-0.07,1.07,-0.02,0.01,-0.05
00:00:14:832,-0.05,-0.10,1.08,-0.04,0.04,-0.05
00:00:14:932,-0.06,-0.16,1.15,-0.01,-0.02,-0.04
00:00:15:032,-0.05,-0.22,1.05,-0.08,-0.01,-0.13
00:00:15:132,-0.00,-0.23,0.92,0.01,-0.13,-0.18
